COMPANY,ticker,ticker1
Havells India Ltd,517354,HAVELLS.NS
HCL Technologies Ltd,532281,HCLTECH.NS
HDFC Bank Ltd,500180,HDFCBANK.NS
HDFC Life Insurance Company Ltd,540777,HDFCLIFE.NS
HEG Ltd,509631,HEG.NS
HeidelbergCement India Ltd.,500292,HEIDELBERG.NS
Heritage Foods Ltd,519552,HERITGFOOD.NS
Hero MotoCorp Ltd,500182,HEROMOTOCO.NS
Himachal Futuristic Communications Ltd,500183,HFCL.NS
Himadri Speciality Chemical Ltd,500184,HSCL.NS
Himatsingka Seide,514043,HIMATSEIDE.NS
Hindalco Industries Ltd,500440,HINDALCO.NS
Hindustan Aeronautics Ltd,541154,HAL.NS
Hindustan Copper,513599,HINDCOPPER.NS
Hindustan Petroleum Corp Ltd,500104,HINDPETRO.NS
Hindustan Unilever Ltd,500696,HINDUNILVR.NS
Hindustan Zinc Ltd,500188,HINDZINC.NS
Honeywell Automation India Ltd,517174,HONAUT.NS
Housing and Urban Development Corporation Ltd,540530,HUDCO.NS
Housing Development Finance Corp (HDFC),500010,HDFC.NS
HSIL Ltd,500187,HSIL.NS
ICICI Bank Ltd,532174,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd,540716,ICICIGI.NS
ICICI Prudential Life Insurance Company Ltd,540133,ICICIPRULI.NS
ICICI Securities Ltd,541179,ISEC.NS
IDBI Bank Ltd,500116,IDBI.NS
IDFC First Bank Ltd,539437,IDFCFIRSTB.NS
IDFC Limited,532659,IDFC.NS
IFB Industries Ltd,505726,IFBIND.NS
IFCI Ltd,500106,IFCI.NS
India Cements Ltd,530005,INDIACEM.NS
India Tourism Development Corp Ltd,532189,ITDC.NS
Indiabulls Housing Finance Limited,535789,IBULHSGFIN.NS
Indiabulls Integrated Services Ltd,533520,YAARII.NS
Indiabulls Real Estate Ltd,532832,IBREALEST.NS
Indiabulls Ventures Ltd,532960,DHANI.NS
Indian Bank,532814,INDIANB.NS
Indian Energy Exchange Ltd,540750,IEX.NS
Indian Hotels Co Ltd,500850,INDHOTEL.NS
Indian Oil Corp Ltd,530965,IOC.NS
Indian Overseas Bank,532388,IOB.NS
Indostar Capital Finance Ltd,541336,INDOSTAR.NS
Indraprastha Gas Ltd,532514,IGL.NS
IndusInd Bank Ltd,532187,INDUSINDBK.NS
Infibeam Avenues Ltd,539807,INFIBEAM.NS
Info Edge (India) Ltd.,532777,NAUKRI.NS
Inox Leisure,532706,INOXLEISUR.NS
Inox Wind Ltd,539083,INOXWIND.NS
Intellect Design Arena Ltd.,538835,INTELLECT.NS
InterGlobe Aviation Ltd,539448,INDIGO.NS
Ipca Laboratories Ltd,524494,IPCALAB.NS
IRB Infrastructure Developers Ltd,532947,IRB.NS
ISGEC Heavy Engineering Ltd,533033,ISGEC.NS
ITC Ltd,500875,ITC.NS
ITD Cementation India Ltd,509496,ITDCEM.NS
ITI Ltd,523610,ITI.NS
J. K. Tyre Industries Ltd,530007,JKTYRE.NS
J.B.Chemicals & Pharmaceuticals Ltd.,506943,JBCHEPHARM.NS
J.K. Cement Ltd.,532644,JKCEMENT.NS
Jai Corp Ltd,512237,JAICORPLTD.NS
Jain Irrigation Systems Ltd,500219,JISLJALEQS.NS
Jaiprakash Associates Ltd,532532,JPASSOCIAT.NS
Jammu & Kashmir Bank Ltd,532209,J&KBANK.NS
Jamna Auto Industries Ltd,520051,JAMNAAUTO.NS
Jet Airways India Ltd,532617,JETAIRWAYS.NS
Jindal SAW Ltd,500378,JINDALSAW.NS
Jindal Stainless (Hisar) Ltd,539597,JSLHISAR.NS
Jindal Stainless Ltd.,532508,JSL.NS
Jindal Steel & Power Ltd,532286,JINDALSTEL.NS
JK Lakshmi Cement Ltd,500380,JKLAKSHMI.NS
JM Financial Ltd,523405,JMFINANCIL.NS
Johnson Controls -Hitachi Air Conditioning India Ltd,523398,JCHAC.NS
JSW Energy Ltd,533148,JSWENERGY.NS
JSW Steel Ltd,500228,JSWSTEEL.NS
Jubilant FoodWorks Ltd,533155,JUBLFOOD.NS
Jubilant Life Sciences Ltd,530019,JUBLPHARMA.NS
Just Dial Ltd,535648,JUSTDIAL.NS
Jyothy Laboratories Ltd,532926,JYOTHYLAB.NS
Kajaria Ceramics Ltd.,500233,KAJARIACER.NS
Kalpataru Power Transmission Ltd,522287,KALPATPOWR.NS
Kansai Nerolac Paints Ltd.,500165,KANSAINER.NS
Karnataka Bank Ltd,532652,KTKBANK.NS
Kaveri Seed Co Ltd,532899,KSCL.NS
KEC International Ltd/India,532714,KEC.NS
KEI Industries Ltd,517569,KEI.NS
KIOCL Ltd,540680,KIOCL.NS
KNR Constructions Ltd,532942,KNRCON.NS
Kotak Mahindra Bank Ltd,500247,KOTAKBANK.NS
KPR Mill Ltd,532889,KPRMILL.NS
KRBL Ltd,530813,KRBL.NS
L&T Finance Holdings Ltd,533519,L&TFH.NS
L&T Technology Services Ltd,540115,LTTS.NS
La Opala Rg Ltd.,526947,LAOPALA.NS
